Emergency,Emergency_Advice,Emergency_Image,Emergency_Video,Start_Time
Trouble  Breathing,"CPR (Cardiopulmonary Resuscitation): For adults, perform 30 chest compressions followed by 2 rescue breaths. For infants and children, the ratio of compressions to breaths may vary. AED (Automated External Defibrillator): Use an AED if available and trained to do so.",https://cdn-bdipj.nitrocdn.com/nSpTriPYYMRWTBZRWGtHbZFVfriMhQFW/assets/images/optimized/rev-1959567/avive.life/wp-content/uploads/2022/05/How-to-do-CPR-1.png,UxEfQJP3MQk,0
Control Bleeding,"Apply Pressure: Use a clean cloth or bandage to apply direct pressure to the wound. Elevate: Raise the injured part above the level of the heart if possible. Use a Tourniquet: As a last resort, apply a tourniquet if the bleeding is severe and cannot be controlled by direct pressure.",https://thedoubter.org/wp-content/uploads/2019/09/stop-the-bleed-steps-1024x484.png,8pTaqY40-Rs,15
Treating Burns,"Cool the Burn: Run cool (not cold) water over the burn for at least 10 minutes. Cover the Burn: Use a clean, non-stick dressing or cloth. Do Not Break Blisters: Leave blisters intact to avoid infection.",https://www.firstaid.co.uk/images/blog/2022/Infographic/Burns-infographic.jpg,z_5tuB1YMK0,18
Managing Fractures,Immobilize: Keep the injured area still using a splint or sling. Avoid Movement: Do not move the person if you suspect a spinal injury.,https://www.maryamparman.com/wp-content/uploads/2018/08/18-57-MP-Providing-First-Aid-Care-for-a-Broken-Bone.jpg,yFoifsEEehE,0
Dealing with Choking,"Heimlich Maneuver: Perform abdominal thrusts to dislodge the object. Back Blows: For infants, alternate between back blows and chest thrusts.",https://scontent.fmaa6-1.fna.fbcdn.net/v/t1.6435-9/120137126_3381835418564221_6640338862030905722_n.png?_nc_cat=106&ccb=1-7&_nc_sid=0327a3&_nc_ohc=3ItwTbi2ji0Q7kNvgEy8w8T&_nc_ht=scontent.fmaa6-1.fna&oh=00_AYB8sYRtyBWZHBzFAzV_abA3WR9FLtov2K_CoRhYVSV5Kg&oe=66C60F03,nfHGzD93XuU,18
Handling Shock,Lay the Person Down: Keep them flat on their back. Elevate Legs: Raise the legs about 12 inches if there are no injuries that would be worsened by this. Keep Warm: Use blankets to maintain body heat.,https://pbs.twimg.com/media/DeqmiI2VMAUI_xK.jpg,luTRnCoeD4c,40
Managing Asthma Attacks,Assist with Medication: Help the person use their prescribed inhaler. Calm the Person: Keep them calm and in an upright position.,https://pbs.twimg.com/media/DCO673vXcAEI0KH.jpg:large,1dV2vFAcqIw&t=15s,26
Dealing with Allergic Reactions,"Use an EpiPen: If the person has an epinephrine auto-injector, assist them in using it. Call for Help: Seek emergency medical assistance immediately.",https://firstaidforlife.org.uk/wp-content/uploads/2017/07/howtouse_2.jpg,ROqxy9Gm4OM,13
Handling Seizures,"Protect from Injury: Remove nearby dangerous objects. Do Not Restrain: Let the seizure run its course. Turn on Side: After the seizure, turn the person onto their side to keep the airway clear.",https://dssofgcsc.wordpress.com/wp-content/uploads/2010/07/1staid.jpg,jJWfHHqfSbk,36
Dealing with Poisoning,Identify the Poison: Try to determine what was ingested. Call Poison Control: Contact the local poison control center or emergency services. Do Not Induce Vomiting: Unless instructed by a professional.,https://www.ohsu.edu/sites/default/files/2024-07/First%20Aid%20for%20Poisoning%20%2811%20x%2017%20in%29%20-%20Copy.jpg,b2ieb8BZJuY,0
Eye Injuries,Rinse with Water: Use clean water to flush out any foreign objects. Cover the Eye: Use a clean cloth or eye patch to protect the injured eye.,https://umash.umn.edu/wp-content/uploads/2022/06/First-Aid-for-Eye-Injuries-poster.jpg,PHrrxe3p8vw,51
Heat Exhaustion and Heat Stroke,"Move to a Cool Place: Get the person out of the heat. Hydrate: Provide cool water to drink if the person is conscious. Cool the Body: Use cool, wet cloths or a cool bath to lower body temperature.",https://www.australiawidefirstaid.com.au/media-library/treatment-of-heat-stroke.png,R6VdoV8dZRc,52
Sprain,"Ice: Apply an ice pack wrapped in a cloth to the affected area for 15-20 minutes every hour. This helps reduce swelling.
Compression: Use an elastic bandage to wrap the injured area, providing support and reducing swelling. Be careful not to wrap too tightly.
Elevation: Keep the injured limb elevated above heart level to help reduce swelling.",https://onlinefirstaid.com/wp-content/uploads/2018/03/price-01.jpg,0jps5SZlTdo,31
Drowning,"Get the Person Out of Water: Safely bring the person to shore or out of the pool, if possible.
Check for Breathing: If the person is not breathing, begin CPR immediately.
For adults: Perform chest compressions at a rate of 100-120 per minute and give rescue breaths (30 compressions to 2 breaths).
For children: Start with 5 initial rescue breaths before starting compressions.
Seek Professional Medical Help: Continue CPR until professional help arrives or the person starts breathing independently.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_YXBiFoMVAo8ZxcqCGXfYsIOSGNulpDDSvU6pikNoe_HSZ9jIJgybm123eOBuquSCgVYj92SfT-bynBEWKrf6H0znjU-2oLw8pUPV9ULAFDiJXqVHusdHdaRd0jfLDgSEUbJazW2ycIE/s1600/Drowning+First+Aid+Infographic+Aqua+Maddas.png,Hlrbio-NpxQ,57
Fainting,"Lay the Person Down: Position the person flat on their back with legs elevated to improve blood flow to the brain.
Loosen Tight Clothing: Remove or loosen any tight clothing or accessories.
Check for Breathing: Ensure the person is breathing. If not, call emergency services and begin CPR.
Give Fresh Air: Ensure the area is well-ventilated and avoid overcrowding around the person.
Stay with the Person: Monitor their condition until they regain consciousness. Seek medical help if they don’t recover quickly or have a history of fainting.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuvaQ9VS5DygR46BuLPBqukF6IjjoTwI3PDA&s,ddHKwkMwNyI,48
Nose Bleed,"Stay Calm: Keep the person calm and sitting upright.
Lean Forward: Have the person lean forward slightly to prevent swallowing blood.
Pinch the Nose: Use your thumb and index finger to pinch the nostrils shut, applying pressure for about 10 minutes.
Apply a Cold Compress: Place a cold compress or ice pack on the bridge of the nose to help constrict blood vessels.
Seek Medical Attention: If the bleeding continues for more than 20 minutes or is severe, seek medical assistance.",https://www.australiawidefirstaid.com.au/media-library/nose-bleed-chart-1810.png,PmmhxW0vVXA,5
Hypothermia,Move to a Warm Place: Get the person out of the cold. Warm the Body: Use blankets and warm (not hot) drinks to raise body temperature. Avoid Direct Heat: Do not use hot water or direct heat sources.,https://www.stjohnvic.com.au/media/rxpdwksz/hypothermia-first-aid-2.png?quality=75&format=jpg,LpRjggjcJVI,204
